,roles,companies,locations,experience,skills
290,Data Scientist,VALIANCE ANALYTICS PRIVATE LIMITED,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Xgboost
Neural Networks
Statistical Modeling
Data Analysis
Hypothesis Testing
Machine Learning
Python"
291,Data Scientist,Happyhat Solution Pvt. Ltd,Chennai,3-8 Yrs,"Data Science
R
Artificial Intelligence
Natural Language Processing
Hadoop
Text Mining
Spark
Statistical Data Analysis"
292,Data Scientist - Machine Learning/artificial Intelligence,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,"Data Science
Java
R
Artificial Intelligence
Data Scientist
SCALA
Data Mining
Data Visualization"
293,Data Scientist,NSE.IT Ltd,Mumbai,5-10 Yrs,"Text mining
deep learning
Automation
Neural networks
Machine learning
Housing finance
Deployment
data visualization"
294,Data Scientist,Aureus Analytics,Mumbai,5-10 Yrs,"Logistic regression
data science
Neural networks
Machine learning
Actuarial
Mathematics
Customer experience
Forecasting"
295,AGM Data Scientist - Top Durable Brand - Mumbai,Smart Source,Mumbai,10-18 Yrs,"data science
team role
machine learning
market analysis
predictive analysis"
296,Data Scientist,KRINTEK GLOBAL PRIVATE LIMITED,"Pune, Navi Mumbai, Mumbai",6-11 Yrs,"R
SAS
Power Bi
Data Scientist
Hadoop
Tableau
Spark
Qlik View"
297,Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
298,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
Power Bi
Alteryx
Initio
Tableau
Informatica
Microstrategy
R"
299,data scientist (internship),BugendaiTech,Pune,0-1 Yrs,Internship
300,CSII - Item and inventory - Senior Data Scientist,Walmart Labs,Chennai,3-7 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
301,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
302,BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
303,Data Scientist,"vLogix Technologies Pvt. Ltd.,",Chennai(Okkiyam Thuraipakkam),2-5 Yrs,"algorithms
python
data analysis
data science
RDBMS
data mining
numpy
statistical analysis"
304,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
305,Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
306,Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
307,Data Scientist - Big Data,Evolutum,United Kingdom (U.K),3-7 Yrs,"Azure
Artificial Intelligence
Hadoop
Big Data
Tableau
SSIS
Machine Learning
SQL"
308,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
309,Data Science/ Scientist - Python/ Deep Learning,New Era India,Bengaluru,7-12 Yrs,"Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
310,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
311,Looking For Data Scientist in Hyderabad only PHD,Anlage Infotech (I) Pvt. Ltd.,Hyderabad,5-9 Yrs,"trading
analytics
Finance Domain
capital
Data Scientist
Senior Data Scientist
investment
Mathematics"
312,Job Opening For Senior Data Scientist With 5yrs To 12yrs of Experience,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Knowledge Sharing
Scala
Big Data
Clarity
Analytics
Deep Learning
Data Science
Agile Project Management"
313,Data Scientist,MM JAIN AGENCIES,"Mumbai Suburbs, Mumbai, Indore",5-10 Yrs,"nlp
Data Scientist"
314,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
315,Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
316,Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
317,Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
318,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
319,Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
320,CSII - Item and inventory - Senior Data Scientist,Walmart Labs,Chennai,3-7 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
321,Associate Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,"Computer science
C++
Data analysis
Analytical
Machine learning
HTML
Data mining
Analytics"
322,Immediate Requirement For Data Scientist,Globussoft,Bengaluru(Koramangala),0-1 Yrs,"Predictive Modeling
NLP
Algorithms
NoSQL
Data Mining
Data Scraping
Machine Learning
Deep Learning"
323,Lead AI/ ML Data Scientist - Social Networks - Work From Home,Sutra Tech Labs Private Limited,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"Artificial Intelligence
Scala
neural networks
DataFactory
Tableau
Machine Learning
Apache Spark
SageMaker"
324,Data Scientist - SaaS,OnceHub Technologies,"Gurgaon, Gurgaon",1-6 Yrs,"IT Skills
Python
Testing
work from home
R
PowerBI
Data Scientist
Hypothesis Testing"
325,BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
326,Trainee-freshers-machine Learning-ai-data Scientist,Aficionado Technologies Pvt Ltd,Bengaluru(BTM Layout),0-0 Yrs,"Tensorflow
NLP
Keras
Knn
Machine Learning
Deep Learning
Numpy
Python"
327,Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
328,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
329,Sr. Data Scientist / Team Manager,AVE-Promagne,"Chennai, Bengaluru, Remote",7-9 Yrs,"NLP
data science
neural networks
AI
machine learning
ML"
330,Lead Data Scientist / Machine Learning Expert,Bidgely Technologies Private Limited,Bengaluru,6-9 Yrs,"Product management
Computer science
Data analysis
Interpersonal skills
Machine learning
Intellectual property
Data mining
MATLAB"
331,Tech Lead Data Scientist - Dl/ml - Hyderabad,Resource Weaver,Hyderabad,11-15 Yrs,"Pyspark
Azure
EDA
PySpark
CSV
SQL Queries
Data bricks
JSON"
332,Lead Data Scientist - Machine /deep Learning,Confidential,Hyderabad,5-8 Yrs,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
333,Data Scientist,ArrisTechnologies,"Mysore, Bengaluru",12-15 Yrs,"data science
Artificial Intelligence
Machine Language
DataScience
Analytics"
334,Data Scientist,MM JAIN AGENCIES,"Mumbai Suburbs, Mumbai, Indore",5-10 Yrs,"nlp
Data Scientist"
335,Data Scientist,Walmart Labs,Chennai,2-6 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
336,Sr. Data Scientist / Machine learning Expert,Bidgely Technologies Private Limited,Bengaluru,4-6 Yrs,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
337,Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
338,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
339,Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
340,Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
341,Lead Data Scientist,DataTrained,"Bengaluru, Noida",2-4 Yrs,"Computer science
SAN
French
Data modeling
Analytical
Machine learning
Predictive modeling
Analytics"
342,Data Scientist,Foghorn Systems Pvt Ltd,Pune,2-4 Yrs,"Tensorflow
Data Science
Cnn
Scipy
Lstm
Xgboost
Neural Networks
Keras"
343,Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
344,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
345,Data Scientist,Marktine,Jaipur,1-3 Yrs,"Computer languages
PDF
Neural networks
Machine learning
Predictive modeling
Business solutions
Revenue generation
Monitoring"
346,Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
347,Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
348,"Data Scientist - Python/r, Ai/ml, NLP",Axim Technologies,Bengaluru,4-8 Yrs,"ML / AI
NLP
Data Scientist
Python / R"
349,Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
350,Senior Data Scientist / Machine Learning Engineer,Winning Edge India,Bengaluru,8-12 Yrs,"Data Science
Malware
Security
Machine Learning"
351,Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
352,AVP - Data Scientist - Top General Insurance Company.,Right Match HR Services Pvt Ltd,Mumbai,8-12 Yrs,"r
python
sas
data science
Data Scientist
decision trees
statistical modeling
clustering"
353,"Senior Data Scientist - Ai/ml, SVM",Axim Technologies,Bengaluru,9-14 Yrs,"Decision Tree
NLP
API development
Data Scientist
data mining
AI / Ml
SVM
quantitative analysis"
354,Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
355,Senior Manager - Data Scientist - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
356,Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
357,Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
358,Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
359,Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
360,Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
361,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
362,Principal Data Scientist,Axim Technologies,"Bengaluru, Karnataka",5-8 Yrs,"Unix
Java
Container
Algorithms
Multithreading
Linux
Docker
Data Scientist"
363,Data Scientist - Image Recognition/machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
364,Associate Vice President - Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,8-12 Yrs,"Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
365,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
366,"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
367,Data Scientist,Linedata,Mumbai(Vikhroli),4-9 Yrs,"python
nlp
natural language processing
sentiment analysis
data mining
statistical modeling
machine learning
pattern recognition"
368,Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
369,Data Scientist,Okda Solutions,Hyderabad,4-8 Yrs,"and CouchDB
Artificial Intelligence
No SQL
Machine Learning
NumPy
HBase
R
NLP"
370,Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
371,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
372,Data Scientist - Hadoop/mapreduce,Confidential,India,5-8 Yrs,"analytics
Java
predictive modeling
Hadoop
Data Management
Big Data
statistical modeling
PhD"
373,Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
374,Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
375,Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
376,Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
377,Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
378,Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
379,Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
380,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
381,Hiring For Data Scientist - Freelancer,"Kumaran Systems Pvt. Ltd.,",Chennai(Navalur),3-8 Yrs,"Data Science
C++
Machine Learning
Python
Predictive Analytics"
382,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
383,Senior Deep Learning Data Scientist,Number Theory Software,Gurgaon,2-6 Yrs,"Computer vision
deep learning
software architecture
Image processing
Data modeling
Coding
Neural networks
Data structures"
384,Principal Data Scientist-Digital (OOG),TVS MOTOR COMPANY LTD,Bengaluru,8-12 Yrs,DATA SCIENTIST
385,Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
386,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
387,"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
388,Data Scientist,Xoriant Solutions Pvt Ltd,Pune,7-10 Yrs,"Tensorflow
Java
R
Algorithms
Artificial Intelligence
Data Structures
Natural Language Processing
Keras"
389,"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
390,Lead Data Scientist,Bit Brothers Tech Pvt Ltd,Mumbai,4-6 Yrs,"Computer science
Statistical analysis
Data management
data science
Machine learning
Data quality
Data mining
MATLAB"
391,Data Scientist & Software Engineer,Antrors HR Solutions,Gurgaon,5-8 Yrs,"C#
R
Data Scientist
Javascript
NodeJS
Python"
392,Senior Data Scientist - Machine Learning & Regression Algorithms,Confidential,Bengaluru,6-10 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Data Visualization"
393,Principal Data Scientist - IIT/ NIT / BITS,3D India Staffing Research & Consulting Co India,Bengaluru,8-13 Yrs,"Team Handling
Segmentation
Operations Research
Data Mining
Machine Learning
Statistics
Analytics
Clementine"
